nct_number,study_title,phase,enrollment,funder_type,sponsor,start_date,completion_date,duration_months,start_year,allocation,masking,primary_purpose,intervention_model,is_multinational,country_count,scope
NCT01969747,Empagliflozin add-on to Insulin in Type 1 Diabetes Mellitus Over 28 Days,Phase 2,75,INDUSTRY,Boehringer Ingelheim,2013-11-01,2014-04-01,5.0,2013.0,RANDOMIZED,DOUBLE,TREATMENT,PARALLEL,1,2,Multinational
NCT02666430,Extension Study to Assess Safety and Efficacy of Mylan's Insulin Glargine and Lantus® in Type 1 Diabetes Mellitus (T1DM) Patients,Phase 3,127,INDUSTRY,Mylan Inc.,2015-12-01,2017-07-01,19.0,2015.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,8,Multinational
NCT02564211,Ipragliflozin Add-on Long-term Study in Japanese Participants With Type 2 Diabetes Mellitus on Sitagliptin (MK-0431J-849),Phase 3,77,INDUSTRY,Merck Sharp & Dohme LLC,,,,,,NONE,TREATMENT,SINGLE_GROUP,0,0,Single Country
NCT00700817,"The Effect of Liraglutide Compared to Sitagliptin, Both in Combination With Metformin on Glycaemic Control in Subjects With Type 2 Diabetes Mellitus",Phase 3,665,INDUSTRY,Novo Nordisk A/S,2008-06-01,2010-06-01,24.0,2008.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,15,Multinational
NCT01304537,Study of the Safety and Efficacy of Intravenous Alpha-1 Antitrypsin in Type 1 Diabetes Mellitus,Phase 1/2,24,INDUSTRY,"Kamada, Ltd.",2011-06-01,2012-11-01,17.0,2011.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT02453555,Empagliflozin Add on to Linagliptin Study in Japanese Patient With Type 2 Diabetes Mellitus,Phase 3,275,INDUSTRY,Boehringer Ingelheim,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00106366,Comparison of Insulin Detemir With Insulin Glargine in Type 2 Diabetes,Phase 3,389,INDUSTRY,Novo Nordisk A/S,2005-03-01,2005-12-01,9.0,2005.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,3,Multinational
NCT06161844,Efficacy and Safety of Semaglutide Injection (HD1916) in Patients With Type 2 Diabetes Mellitus,Phase 3,506,INDUSTRY,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT00354536,In-patient Study With GSK716155 In Patients With Type 2 Diabetes Mellitus,Phase 2,60,INDUSTRY,GlaxoSmithKline,2006-02-01,2006-09-01,7.0,2006.0,RANDOMIZED,SINGLE (PARTICIPANT),TREATMENT,PARALLEL,0,1,Single Country
NCT04432090,GPR119 Agonist for Hypoglycemia in Type 1 Diabetes,Phase 2,110,OTHER,AdventHealth Translational Research Institute,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",BASIC_SCIENCE,CROSSOVER,0,1,Single Country
NCT01000922,"A Study Comparing the Pharmacodynamic Properties of Insulin VIAJECT™, Regular Human Insulin, and Insulin Lispro",Phase 2,24,INDUSTRY,Biodel,2006-06-01,2008-01-01,19.0,2006.0,NON_RANDOMIZED,NONE,TREATMENT,CROSSOVER,0,1,Single Country
NCT02607865,Efficacy and Long-term Safety of Oral Semaglutide Versus Sitagliptin in Subjects With Type 2 Diabetes,Phase 3,1864,INDUSTRY,Novo Nordisk A/S,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,15,Multinational
NCT01006291,Comparison of NN1250 With Insulin Glargine in Type 2 Diabetes,Phase 3,687,INDUSTRY,Novo Nordisk A/S,2009-11-01,2010-09-01,10.0,2009.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,14,Multinational
NCT02414958,Empagliflozin as Adjunctive to InSulin thErapy Over 52 Weeks in Patients With Type 1 Diabetes Mellitus (EASE-2),Phase 3,730,INDUSTRY,Boehringer Ingelheim,,,,,RANDOMIZED,DOUBLE,TREATMENT,PARALLEL,1,17,Multinational
NCT01475461,Phase 2 Study To Evaluate Safety And Efficacy Of Investigational Drug - PF04937319 In Patients With Type 2 Diabetes,Phase 2,345,INDUSTRY,Pfizer,2011-11-01,2013-01-01,14.0,2011.0,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",TREATMENT,PARALLEL,1,8,Multinational
